name,business_status,price_level,place_id,rating,types,lat,lng,open,neighborhood,borough,pull_date,pull_datetime,pull_week
Latin Fusion,OPERATIONAL,2,ChIJVbtCOF3zwokRHOctYR0bEJA,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.86566699999999,-73.8638216,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Nuevo Imperial,OPERATIONAL,NA,ChIJMQmwu1vzwokRuhoePxhbUf4,4.4,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8622222,-73.8575,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
China Kitchen,OPERATIONAL,1,ChIJk1GSg2DzwokRgJ3HXvdcYx4,4.4,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8597044,-73.8657262,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Chef King,OPERATIONAL,1,ChIJmZuN1UTzwokRTXhq8nJdTBk,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8656417,-73.85665279999999,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
El Rincón de Mexico,OPERATIONAL,NA,ChIJF6QtDLTzwokRuubdBmHTAVM,4.6,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8594002,-73.86624499999999,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Li's Kitchen,CLOSED_TEMPORARILY,1,ChIJIwotclvzwokRXRlPXMNMG10,4.2,"c(""meal_delivery"", ""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8634811,-73.85857639999999,FALSE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Domenick's Pizzeria,OPERATIONAL,NA,ChIJKfbnSlvzwokRj2z9pcPfll8,4.3,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8657154,-73.85807679999999,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Venezia Pizzeria,OPERATIONAL,NA,ChIJI1eljFnzwokRujT5Gex6xFc,4.6,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8653296,-73.8646203,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Cosinita,OPERATIONAL,NA,ChIJ2bKPiGDzwokRaVDTNwpGvv8,4.3,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8652694,-73.8680202,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
White Castle,OPERATIONAL,1,ChIJzVAe2FzzwokR38h1ZOp2knk,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.86565110000001,-73.8657281,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Bella Napoli Pizza & Pasta,OPERATIONAL,NA,ChIJ1cDCRF3zwokR65D9PvIPq_Y,4,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8584813,-73.86735399999999,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Dukagjini Burek,OPERATIONAL,1,ChIJ53KeKqD0wokRA9WzdrY4UGU,4.7,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8652997,-73.8642351,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Kennedy Fried Chicken,OPERATIONAL,NA,ChIJVU6bsGfzwokRmXL4_fcgRb0,4.2,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8640944,-73.8671026,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Feroza's Roti,OPERATIONAL,1,ChIJUXes9mnzwokRqbmpmk_AypQ,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8657626,-73.8627053,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Cemitas Puebla,OPERATIONAL,NA,ChIJF8hAtGfzwokRmBLLD-LSWtY,3.9,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8656452,-73.8657937,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Tacos El Bronco 2,OPERATIONAL,1,ChIJA8H7p5_0wokRex3wNmn4Kds,4.7,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8670839,-73.86754309999999,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Empanadas monumental,OPERATIONAL,1,ChIJEx_jYF3zwokRIf6H2-sP83M,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8594314,-73.8662887,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Popeyes Louisiana Kitchen,OPERATIONAL,1,ChIJaYcMOUPzwokRQShsP27c1rQ,4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8652743,-73.86490739999999,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
McDonald's,OPERATIONAL,1,ChIJQ1oOEWfzwokRJYMgI5paA6U,3.9,"c(""cafe"", ""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment"")",40.8647594,-73.863731,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
John & Joe's Pizzeria and Restaurant,OPERATIONAL,NA,ChIJLc1b4871wokRfsjAm_SYNf0,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8631627,-73.8583408,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Side By Side Pizza,OPERATIONAL,1,ChIJs9iSL17zwokRXZQ3VveVk84,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.86566699999999,-73.8638216,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Happy Garden,OPERATIONAL,1,ChIJk0Q_xlvzwokRGWt40Uohy8A,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8622222,-73.8575,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
SOFRA - Albanian & Greek Cuisine,OPERATIONAL,NA,ChIJp2jh7Kf0wokRe0GlbyXwdtw,4.7,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8597044,-73.8657262,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Sweet Breez,OPERATIONAL,NA,ChIJV2FWOvHzwokR9hVut5dUM3E,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8656417,-73.85665279999999,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Steven Restaurant,OPERATIONAL,2,ChIJnWOcNGDzwokRJlcT_yukyhM,3.9,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8594002,-73.86624499999999,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Ganzo Flower,OPERATIONAL,NA,ChIJJTNbMmDzwokRAkAfUH-H42A,4.5,"c(""restaurant"", ""florist"", ""grocery_or_supermarket"", ""food"", ""point_of_interest"", ""store"", ""establishment"")",40.8634811,-73.85857639999999,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
La Parranda,CLOSED_TEMPORARILY,NA,ChIJB3MXwmfzwokRVlzDpWGcDQc,4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8657154,-73.85807679999999,FALSE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Three Boys From Italy,OPERATIONAL,2,ChIJnYIq82nzwokR-l-Zz1uitPM,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8653296,-73.8646203,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Enzo's Of Williamsbridge,CLOSED_TEMPORARILY,2,ChIJm0wf5qf0wokR8wUD2sL-fIA,4.6,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8652694,-73.8680202,FALSE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Pelham Pizza,OPERATIONAL,NA,ChIJ01DiSmDzwokRpcwmzwabEJc,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.86565110000001,-73.8657281,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Santos Fish Market,OPERATIONAL,1,ChIJm9VrbmjzwokRmS8oHa4NPLM,3.9,"c(""grocery_or_supermarket"", ""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment"")",40.8584813,-73.86735399999999,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Halal Chandni chowk,OPERATIONAL,NA,ChIJ_eBkxlzzwokRNKCFOm8a1mY,4.2,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8652997,-73.8642351,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
La Estrella Tropical,OPERATIONAL,NA,ChIJX59uBELzwokR5LoYIJ_h2Es,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8640944,-73.8671026,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
EZ Grill NYC,OPERATIONAL,1,ChIJ49MlNKD0wokRAZEf6-NfnDI,4.4,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8657626,-73.8627053,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Kennedy Chicken & Sandwichs,OPERATIONAL,1,ChIJH3uloJ_0wokRV_Hhv0Vdq0g,4.3,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8656452,-73.8657937,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
K & P Jerk And Catering Restaurant,OPERATIONAL,NA,ChIJb6O9rtfzwokRdktGyZ42skc,4.8,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8670839,-73.86754309999999,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Imperial Cafe,OPERATIONAL,NA,ChIJ1bkbZVjzwokRXcCgxnm7Xps,4,"c(""restaurant"", ""meal_delivery"", ""food"", ""point_of_interest"", ""store"", ""establishment"")",40.8594314,-73.8662887,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Lash West Indian & American Cuisine,OPERATIONAL,1,ChIJObNTKELzwokRMsRELncOw_c,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8652743,-73.86490739999999,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
The Sanz Banquet Room,OPERATIONAL,NA,ChIJxQv7s-_zwokRSH2ACvk4fGk,2.7,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8647594,-73.863731,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Pasta Pasta,OPERATIONAL,2,ChIJO_oK86f0wokRG_C8AgOw9Jg,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8631627,-73.8583408,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Sorrento's Pizzeria Restaurant,OPERATIONAL,1,ChIJu2QZ5af0wokR5tiRciA2bbY,4.5,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.86566699999999,-73.8638216,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Luigi's Pizza & Pasta,OPERATIONAL,NA,ChIJo04Bh0HzwokRvE84CZGsaN0,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8622222,-73.8575,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Golden Eagle Diner,OPERATIONAL,1,ChIJj5jadljzwokRDePL_6gyzgk,4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8597044,-73.8657262,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Mr Q's,OPERATIONAL,2,ChIJsQHucFjzwokRFbvO6OH6UUI,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8656417,-73.85665279999999,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Golden Krust Caribbean Restaurant,OPERATIONAL,1,ChIJLVnBw2fzwokRwNEUXmoo8FA,3.7,"c(""bakery"", ""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment"")",40.8594002,-73.86624499999999,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Kiraku Japanese Restaurant,CLOSED_TEMPORARILY,2,ChIJb8Jm2Kf0wokRH-aNT2PHVR0,4.5,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8634811,-73.85857639999999,FALSE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Fresh Tortillas,OPERATIONAL,NA,ChIJ96ADcFjzwokR_HHJMEBZ5is,4,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8657154,-73.85807679999999,TRUE,Allerton, Bronx,2020-06-01,2020-06-02T02:55:02Z,22
Allerton Diner,OPERATIONAL,1,ChIJ4_7pQl3zwokRiKoyTyqknwM,3.8,"c(""restaurant"", ""meal_delivery"", ""food"", ""point_of_interest"", ""establishment"")",40.8653296,-73.8646203,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Vesuvio Pizza,OPERATIONAL,1,ChIJ98fms2fzwokRCmpRr5co1EU,4.5,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8652694,-73.8680202,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Esis,OPERATIONAL,1,ChIJndmx9WfzwokRLjLCTcFCkYQ,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.86565110000001,-73.8657281,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
China Mia,OPERATIONAL,1,ChIJN1qURmDzwokR5Vjk2Laocec,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8584813,-73.86735399999999,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Smile Restaurant 😎,OPERATIONAL,1,ChIJ2RmgQV3zwokRN-0bEo55seU,4.3,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8652997,-73.8642351,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Tessey’s International Kitchen (T.I.K.),OPERATIONAL,NA,ChIJzx6jZNXzwokRJonWnWR8eq4,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8640944,-73.8671026,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
IHOP,OPERATIONAL,1,ChIJXSohJl3zwokRMRJxOiqmZk8,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8657626,-73.8627053,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Roma Pizza,OPERATIONAL,1,ChIJeVVd9GfzwokR4h04y5Vsf3Q,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8656452,-73.8657937,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Estrellita Poblana II,OPERATIONAL,2,ChIJP5GNdmjzwokRZ1PhLwuqawg,4.3,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8670839,-73.86754309999999,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Zymi,OPERATIONAL,NA,ChIJLc6BYmDzwokRuQZnG1fmn20,4.4,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8594314,-73.8662887,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Boesun,OPERATIONAL,NA,ChIJ016xYF3zwokRrhlCYbRFAng,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8652743,-73.86490739999999,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Tulcimex,OPERATIONAL,1,ChIJEdXqE13zwokRyAvGdMpcX28,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8647594,-73.863731,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Prego's Pizza,OPERATIONAL,NA,ChIJt0_1dVvzwokREF04CAMTWOc,4.4,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8631627,-73.8583408,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Latin Fusion,OPERATIONAL,2,ChIJVbtCOF3zwokRHOctYR0bEJA,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.86566699999999,-73.8638216,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Nuevo Imperial,OPERATIONAL,NA,ChIJMQmwu1vzwokRuhoePxhbUf4,4.4,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8622222,-73.8575,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
China Kitchen,OPERATIONAL,1,ChIJk1GSg2DzwokRgJ3HXvdcYx4,4.4,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8597044,-73.8657262,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Chef King,OPERATIONAL,1,ChIJmZuN1UTzwokRTXhq8nJdTBk,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8656417,-73.85665279999999,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
El Rincón de Mexico,OPERATIONAL,NA,ChIJF6QtDLTzwokRuubdBmHTAVM,4.6,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8594002,-73.86624499999999,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Li's Kitchen,CLOSED_TEMPORARILY,1,ChIJIwotclvzwokRXRlPXMNMG10,4.2,"c(""meal_delivery"", ""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8634811,-73.85857639999999,FALSE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Domenick's Pizzeria,OPERATIONAL,NA,ChIJKfbnSlvzwokRj2z9pcPfll8,4.3,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8657154,-73.85807679999999,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Venezia Pizzeria,OPERATIONAL,NA,ChIJI1eljFnzwokRujT5Gex6xFc,4.6,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8653296,-73.8646203,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Cosinita,OPERATIONAL,NA,ChIJ2bKPiGDzwokRaVDTNwpGvv8,4.3,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8652694,-73.8680202,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
White Castle,OPERATIONAL,1,ChIJzVAe2FzzwokR38h1ZOp2knk,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.86565110000001,-73.8657281,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Bella Napoli Pizza & Pasta,OPERATIONAL,NA,ChIJ1cDCRF3zwokR65D9PvIPq_Y,4,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8584813,-73.86735399999999,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Dukagjini Burek,OPERATIONAL,1,ChIJ53KeKqD0wokRA9WzdrY4UGU,4.7,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8652997,-73.8642351,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Kennedy Fried Chicken,OPERATIONAL,NA,ChIJVU6bsGfzwokRmXL4_fcgRb0,4.2,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8640944,-73.8671026,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Feroza's Roti,OPERATIONAL,1,ChIJUXes9mnzwokRqbmpmk_AypQ,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8657626,-73.8627053,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Cemitas Puebla,OPERATIONAL,NA,ChIJF8hAtGfzwokRmBLLD-LSWtY,3.9,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8656452,-73.8657937,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Tacos El Bronco 2,OPERATIONAL,1,ChIJA8H7p5_0wokRex3wNmn4Kds,4.7,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8670839,-73.86754309999999,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Empanadas monumental,OPERATIONAL,1,ChIJEx_jYF3zwokRIf6H2-sP83M,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8594314,-73.8662887,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Popeyes Louisiana Kitchen,OPERATIONAL,1,ChIJaYcMOUPzwokRQShsP27c1rQ,4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8652743,-73.86490739999999,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
McDonald's,OPERATIONAL,1,ChIJQ1oOEWfzwokRJYMgI5paA6U,3.9,"c(""cafe"", ""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment"")",40.8647594,-73.863731,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
John & Joe's Pizzeria and Restaurant,OPERATIONAL,NA,ChIJLc1b4871wokRfsjAm_SYNf0,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8631627,-73.8583408,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Side By Side Pizza,OPERATIONAL,1,ChIJs9iSL17zwokRXZQ3VveVk84,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.86566699999999,-73.8638216,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
Happy Garden,OPERATIONAL,1,ChIJk0Q_xlvzwokRGWt40Uohy8A,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8622222,-73.8575,TRUE,Alley Pond Park, Queens,2020-06-01,2020-06-02T02:55:02Z,22
